vid,birth,death,parentid,level,bindingAvidIni,bindingAvid,infection_no,distance_to_parent,distance_to_root, immK
7664,-9,-7,7571,2,0.8,0.8,0,0.0457138,0.0457138,0
7665,-9,-7,7571,2,0.8,0.8,0,0,0,0
7666,-9,-7,7606,2,0.8,0.8,0,0.0272042,0.0272042,0
7667,-9,-8,7457,1,0.8,0.8,0,0,0,0
7668,-9,-7,7461,1,0.8,0.8,0,0,0,0
7669,-9,-4,7512,1,0.8,0.8,0,0.00952652,0.00952652,0
7670,-9,-4,7569,2,0.8,0.8,0,0,0,0
7671,-9,-2,7597,2,0.8,0.8,0,0,0,0
7672,-9,-5,7507,1,0.8,0.8,0,0,0,0
7673,-9,-6,7577,2,0.8,0.8,0,0,0,0
7674,-9,-8,7459,1,0.8,0.8,0,0,0,0
7675,-9,-7,7583,2,0.8,0.8,0,0,0,0
7676,-9,-4,7453,1,0.8,0.8,0,0.0464675,0.0464675,0
7677,-9,-5,7540,1,0.8,0.8,0,0,0,0
7678,-9,-8,7592,2,0.8,0.8,0,0,0,0
7679,-9,-7,7521,1,0.8,0.8,0,0,0,0
7680,-9,-6,7468,1,0.8,0.8,0,0,0,0
7681,-9,-5,7568,2,0.8,0.8,0,0,0,0
7682,-9,-7,7593,2,0.8,0.8,0,0,0,0
7683,-9,-8,7541,1,0.8,0.8,0,0,0,0
7684,-9,-8,7605,2,0.8,0.8,0,0,0,0
7685,-9,-7,7598,2,0.8,0.8,0,0,0,0
7686,-9,-6,7479,1,0.8,0.8,0,0.0170272,0.0170272,0
7687,-9,-5,7533,1,0.8,0.8,0,0,0,0
7688,-9,-3,7593,2,0.8,0.8,0,0.0221696,0.0221696,0
7689,-9,-4,7602,2,0.8,0.8,0,0,0,0
7690,-9,-8,7572,2,0.8,0.8,0,0,0,0
7691,-9,-8,7518,1,0.8,0.8,0,0,0,0
7692,-9,-4,7499,1,0.8,0.8,0,0,0,0
7693,-9,-8,7600,2,0.8,0.8,0,0,0,0
7694,-9,-5,7457,1,0.8,0.8,0,0,0,0
7695,-9,-8,7569,2,0.8,0.8,0,0,0,0
7696,-9,-4,7463,1,0.8,0.8,0,0,0,0
7697,-9,-6,7576,2,0.8,0.8,0,0,0,0
7698,-9,-6,7572,2,0.8,0.8,0,0,0,0
7699,-9,-3,7593,2,0.8,0.8,0,0.02421,0.02421,0
7700,-9,-7,7516,1,0.8,0.8,0,0.0617706,0.0617706,0
7701,-9,-5,7615,2,0.8,0.8,0,0,0,0
7702,-9,-8,7559,2,0.8,0.8,0,0,0,0
7703,-9,-7,7595,2,0.8,0.8,0,0,0,0
7704,-9,-8,7478,1,0.8,0.8,0,0,0,0
7705,-9,-6,7498,1,0.8,0.8,0,0.0230017,0.0230017,0
7706,-9,-7,7577,2,0.8,0.8,0,0,0,0
7707,-9,-8,7564,2,0.8,0.8,0,0.00511514,0.00511514,0
7708,-9,-8,7613,2,0.8,0.8,0,0,0,0
7709,-9,-8,7521,1,0.8,0.8,0,0,0,0
7710,-9,-8,7585,2,0.8,0.8,0,0,0,0
7711,-9,-3,7538,1,0.8,0.8,0,3.84598e-05,3.84598e-05,0
7712,-9,-8,7524,1,0.8,0.8,0,0,0,0
7713,-9,-8,7574,2,0.8,0.8,0,0,0,0
7714,-9,-6,7574,2,0.8,0.8,0,0.0626385,0.0626385,0
7715,-9,-3,7606,2,0.8,0.8,0,0,0,0
7716,-8,-6,7469,1,0.8,0.8,0,0,0,0
7717,-8,-7,7543,1,0.8,0.8,0,0,0,0
7718,-8,-7,7572,2,0.8,0.8,0,0,0.0220718,0
7719,-8,-2,7709,2,0.8,0.8,0,0.0329448,0.0329448,0
7720,-8,-2,7529,1,0.8,0.8,0,0,0,0
7721,-8,-4,7542,1,0.8,0.8,0,0.0301359,0.0307965,0
7722,-8,-7,7595,2,0.8,0.8,0,0,0,0
7723,-8,-4,7540,1,0.8,0.8,0,0,0.0189139,0
7724,-8,-6,7675,3,0.8,0.8,0,0,0,0
7725,-8,-7,7648,2,0.8,0.8,0,0,0,0
7726,-8,-5,7542,1,0.8,0.8,0,0,0.000660596,0
7727,-8,-5,7679,2,0.8,0.8,0,0,0,0
7728,-8,-7,7572,2,0.8,0.8,0,0,0.0220718,0
7729,-8,-4,7469,1,0.8,0.8,0,0.00705222,0.00705222,0
7730,-8,-3,7669,2,0.8,0.8,0,0,0,0
7731,-8,-6,7521,1,0.8,0.8,0,0,0,0
7732,-8,-6,7620,3,0.8,0.8,0,0,0,0
7733,-8,-3,7595,2,0.8,0.8,0,0,0,0
7734,-8,0,7628,3,0.8,0.8,0,0,0,0
7735,-8,-6,7661,3,0.8,0.8,0,0,0,0
7736,-8,-6,7668,2,0.8,0.8,0,0,0,0
7737,-8,-6,7559,2,0.8,0.8,0,0,0,0
7738,-8,-1,7671,3,0.8,0.8,0,0,0,0
7739,-8,-7,7596,2,0.8,0.8,0,0,0.0129876,0
7740,-8,-6,7454,1,0.8,0.8,0,0.0268584,0.0268584,0
7741,-8,-4,7489,1,0.8,0.8,0,0,0,0
7742,-8,-3,7710,3,0.8,0.8,0,0,0,0
7743,-8,-7,7478,1,0.8,0.8,0,0,0.0240072,0
7744,-8,-6,7638,3,0.8,0.8,0,0,0.00586638,0
7745,-8,-7,7604,2,0.8,0.8,0,0,0,0
7746,-8,-6,7633,2,0.8,0.8,0,0,0,0
7747,-8,-11,7571,2,0.8,0.8,0,0,0,0
7748,-8,-7,7510,1,0.8,0.8,0,0,0,0
7749,-8,-6,7670,3,0.8,0.8,0,0.0109665,0.0109665,0
7750,-8,-1,7708,3,0.8,0.8,0,0,0,0
7751,-8,-11,7635,3,0.8,0.8,0,0.0439138,0.0439138,0
7752,-8,-7,7567,2,0.8,0.8,0,0,0.006299,0
7753,-8,-11,7633,2,0.8,0.8,0,0.00338004,0.00338004,0
7754,-8,-6,7614,2,0.8,0.8,0,0,0,0
7755,-8,-1,7686,2,0.8,0.8,0,0,0.0170272,0
7756,-8,-4,7454,1,0.8,0.8,0,0.0363313,0.0363313,0
7757,-8,-5,7702,3,0.8,0.8,0,0,0,0
7758,-8,-3,7662,3,0.8,0.8,0,0,0,0
7759,-8,0,7511,1,0.8,0.8,0,0.00166513,0.00166513,0
7760,-8,-7,7689,3,0.8,0.8,0,0,0,0
7761,-8,0,7550,1,0.8,0.8,0,0,0,0
7762,-8,-5,7553,2,0.8,0.8,0,0,0,0
7763,-8,-7,7528,1,0.8,0.8,0,0,0.00125422,0
7764,-8,-6,7601,2,0.8,0.8,0,0,0.0112789,0
7765,-8,-5,7643,2,0.8,0.8,0,0,0,0
7766,-8,-7,7551,1,0.8,0.8,0,0,0,0
7767,-8,-1,7529,1,0.8,0.8,0,0.0135007,0.0135007,0
7768,-8,-7,7589,2,0.8,0.8,0,0,0,0
7769,-8,-11,7543,1,0.8,0.8,0,0.0135084,0.0135084,0
7770,-8,-5,7692,2,0.8,0.8,0,0,0,0
7771,-8,-7,7464,1,0.8,0.8,0,0,0,0
7772,-8,-2,7671,3,0.8,0.8,0,0,0,0
7773,-8,-5,7670,3,0.8,0.8,0,0,0,0
7774,-8,-6,7713,3,0.8,0.8,0,0,0,0
7775,-8,-6,7670,3,0.8,0.8,0,0,0,0
7776,-8,-7,7473,1,0.8,0.8,0,0,0.0181779,0
7777,-8,-11,7567,2,0.8,0.8,0,0.00604035,0.0123393,0
7778,-8,-1,7626,3,0.8,0.8,0,0.0457515,0.0457515,0
7779,-8,-2,7464,1,0.8,0.8,0,0.0556759,0.0556759,0
7780,-8,-6,7473,1,0.8,0.8,0,0,0.0181779,0
7781,-8,-5,7567,2,0.8,0.8,0,0,0.006299,0
7782,-8,-3,7478,1,0.8,0.8,0,0.0116496,0.0356569,0
7783,-8,-6,7670,3,0.8,0.8,0,0,0,0
7784,-8,-6,7600,2,0.8,0.8,0,0,0.00261846,0
7785,-8,-7,7702,3,0.8,0.8,0,0,0,0
7786,-8,-6,7516,1,0.8,0.8,0,0,0,0
7787,-8,-7,7611,2,0.8,0.8,0,0,0.00413827,0
7788,-8,-6,7602,2,0.8,0.8,0,0.0483358,0.0591172,0
7789,-8,-3,7572,2,0.8,0.8,0,0,0.0220718,0
7790,-8,-6,7678,3,0.8,0.8,0,0,0,0
7791,-8,-2,7709,2,0.8,0.8,0,0,0,0
7792,-8,-5,7540,1,0.8,0.8,0,0,0.0189139,0
7793,-8,-6,7715,3,0.8,0.8,0,0,0,0
7794,-8,-4,7665,3,0.8,0.8,0,0,0,0
7795,-8,-1,7470,1,0.8,0.8,0,0.00478958,0.00478958,0
7796,-8,-5,7570,2,0.8,0.8,0,0.0440078,0.0440078,0
7797,-8,-7,7688,3,0.8,0.8,0,0,0,0
7798,-8,-4,7701,3,0.8,0.8,0,0,0,0
7799,-8,-7,7617,3,0.8,0.8,0,0,0,0
7800,-8,-6,7632,2,0.8,0.8,0,0,0.00667699,0
7801,-8,-7,7584,2,0.8,0.8,0,0,0,0
7802,-8,-4,7467,1,0.8,0.8,0,0,0,0
7803,-8,-6,7639,2,0.8,0.8,0,0,0,0
7804,-8,-6,7592,2,0.8,0.8,0,0,0,0
7805,-8,-4,7578,2,0.8,0.8,0,0.0228303,0.0286967,0
7806,-8,-7,7455,1,0.8,0.8,0,0,0,0
7807,-8,-6,7625,3,0.8,0.8,0,0,0,0
7808,-8,-7,7595,2,0.8,0.8,0,0,0,0
7809,-8,-4,7615,2,0.8,0.8,0,0,0,0
7810,-8,-6,7650,3,0.8,0.8,0,0.00528477,0.00528477,0
7811,-8,-6,7558,2,0.8,0.8,0,0,0,0
7812,-8,-5,7673,3,0.8,0.8,0,0,0,0
7813,-8,-4,7705,2,0.8,0.8,0,0,0,0
7814,-8,-6,7697,3,0.8,0.8,0,0,0,0
7815,-8,-6,7566,2,0.8,0.8,0,0,0.0806443,0
7816,-8,-4,7587,2,0.8,0.8,0,0,0,0
7817,-8,-6,7619,3,0.8,0.8,0,0,0,0
7818,-8,-11,7668,2,0.8,0.8,0,0.00875316,0.00875316,0
7819,-8,-3,7609,2,0.8,0.8,0,0.0115195,0.0329354,0
7820,-8,-7,7631,3,0.8,0.8,0,0,0,0
7821,-8,-5,7511,1,0.8,0.8,0,0,0,0
7822,-8,-3,7668,2,0.8,0.8,0,0.0225056,0.0225056,0
7823,-8,-7,7685,3,0.8,0.8,0,0,0,0
7824,-8,-7,7565,2,0.8,0.8,0,0,0,0
7825,-8,-4,7708,3,0.8,0.8,0,0,0,0
7826,-8,-6,7570,2,0.8,0.8,0,0,0,0
7827,-8,-4,7628,3,0.8,0.8,0,0.000655532,0.000655532,0
7828,-8,-2,7607,2,0.8,0.8,0,0,0,0
7829,-8,-11,7630,2,0.8,0.8,0,0.0697099,0.0697099,0
7830,-8,-6,7652,2,0.8,0.8,0,0,0,0
7831,-8,-7,7498,1,0.8,0.8,0,0,0,0
7832,-8,-7,7600,2,0.8,0.8,0,0,0.00261846,0
7833,-8,-7,7626,3,0.8,0.8,0,0,0,0
7834,-8,-1,7625,3,0.8,0.8,0,0,0,0
7835,-8,-7,7476,1,0.8,0.8,0,0,0,0
7836,-8,-7,7523,1,0.8,0.8,0,0,0,0
7837,-8,-4,7629,3,0.8,0.8,0,0.022564,0.022564,0
7838,-8,-2,7648,2,0.8,0.8,0,0.00713841,0.00713841,0
7839,-8,-7,7477,1,0.8,0.8,0,0,0.00880223,0
7840,-8,-7,7703,3,0.8,0.8,0,0.0161811,0.0161811,0
7841,-8,-4,7473,1,0.8,0.8,0,0,0.0181779,0
7842,-8,-6,7581,2,0.8,0.8,0,0,0,0
7843,-8,-4,7674,2,0.8,0.8,0,0.0319303,0.0319303,0
7844,-8,-7,7610,2,0.8,0.8,0,0,0.00951169,0
7845,-8,-5,7657,3,0.8,0.8,0,0,0,0
7846,-8,-6,7713,3,0.8,0.8,0,0,0,0
7847,-8,-6,7660,2,0.8,0.8,0,0,0,0
7848,-8,-4,7636,3,0.8,0.8,0,0,0,0
7849,-8,-7,7574,2,0.8,0.8,0,0,0,0
7850,-8,-7,7681,3,0.8,0.8,0,0,0,0
7851,-8,-6,7459,1,0.8,0.8,0,0,0,0
7852,-8,-3,7656,2,0.8,0.8,0,0.00447881,0.0258478,0
7853,-8,-7,7653,3,0.8,0.8,0,0,0,0
7854,-8,-5,7682,3,0.8,0.8,0,0.00438229,0.00438229,0
7855,-8,-7,7584,2,0.8,0.8,0,0,0,0
7856,-8,-7,7595,2,0.8,0.8,0,0.0598239,0.0598239,0
7857,-8,-7,7644,3,0.8,0.8,0,0,0,0
7858,-8,-7,7709,2,0.8,0.8,0,0.0545169,0.0545169,0
7859,-8,-11,7713,3,0.8,0.8,0,0.00271182,0.00271182,0
7860,-8,-7,7529,1,0.8,0.8,0,0,0,0
7861,-8,-5,7604,2,0.8,0.8,0,0,0,0
